506398,Midwestern (IA),
1222,Midwestern St.,
422,Miles,
423,Millersville,
503195,Milligan,
424,Millikin,
425,Mills,
426,Millsaps,
797,Milwaukee,
427,Minn. Duluth,
27854,Minn.-Crookston,
1226,Minn.-Morris,
428,Minnesota,Minnesota
383,Minnesota St.,
30125,Minot St.,
16142,Misericordia,
503245,Miss. Industrial,
429,Mississippi Col.,
430,Mississippi St.,Mississippi State
432,Mississippi Val.,Mississippi Valley State
434,Missouri,Missouri
435,Missouri S&T,
669,Missouri St.,Missouri State
506068,Missouri Valley,
398,MIT,
30042,Mitchell,
503262,Mo. Baptist,
9012,Mo. Southern St.,
9013,Mo. Western St.,
436,Mo.-St. Louis,
437,Molloy,
439,Monmouth,Monmouth
438,Monmouth (IL),
205,Mont. St. Billings,
441,Montana,Montana
440,Montana St.,Montana State
506022,Montana Tech,
442,Montclair St.,
1238,Montevallo,
443,Moravian,
444,Morehead St.,Morehead State
445,Morehouse,
446,Morgan St.,Morgan State
447,Morningside,
503365,Morris,
448,Morris Brown,
30067,Morrisville St.,
30036,Mount Aloysius,
449,Mount Holyoke,
27901,Mount Ida,
30033,Mount Mary,
1245,Mount Olive,
452,Mount Union,
20220,MSOE,
413,MSU Denver,
1240,MSU Moorhead,
506043,Mt. Aloysius,
8567,Mt. St. Joseph,
1468,Mt. St. Mary (NY),
450,Mt. St. Mary's,
451,Mt. St. Vincent,
453,Muhlenberg,
454,Murray St.,Murray State
455,Muskingum,
431,MUW,
488,N.C. A&T,North Carolina A&T
489,N.C. Central,North Carolina Central
491,N.C. Wesleyan,
8577,N.M. Highlands,
503430,Nasson,
726,Navy,Navy
461,Nazareth,
462,Neb. Wesleyan,
1156,Neb.-Kearney,
463,Nebraska,Nebraska
1254,Neumann,
466,Nevada,Nevada
467,New England Col.,
469,New Hampshire,New Hampshire
470,New Haven,
319,New Jersey City,
473,New Mexico,New Mexico
472,New Mexico St.,New Mexico State
474,New Orleans,
476,New Rochelle,
1257,Newberry,
21772,Newbury,
30054,Newman,
482,Niagara,
483,Nicholls St.,Nicholls State
484,Nichols,
471,NJIT,
485,Norfolk St.,Norfolk State
487,North Ala.,
457,North Carolina,North Carolina
490,North Carolina St.,N.C. State
492,North Central (IL),
30039,North Central (MN),
494,North Dakota,North Dakota
493,North Dakota St.,North Dakota State
2711,North Florida,
30052,North Georgia,
503660,North Georgia,
9223,North Greenville,
496,North Park,
497,North Texas,North Texas
500,Northeastern,
1263,Northeastern Ill.,
12810,Northeastern St.,
501,Northern Ariz.,Northern Arizona
502,Northern Colo.,Northern Colorado
503,Northern Ill.,Northern Illinois
505,Northern Ky.,
506,Northern Mich.,
1266,Northern St.,
1267,Northland,
507,Northwest Mo. St.,
1274,Northwest Nazarene,
509,Northwestern,Northwestern
506072,Northwestern (IA),
506013,Northwestern Okla.,
30178,Northwestern Okla.,
508,Northwestern St.,Northwestern State
30031,Northwestern-St.Paul,
510,Northwood,
511,Norwich,
513,Notre Dame,Notre Dame
8600,Notre Dame (MD),
30126,Notre Dame (OH),
30056,Notre Dame de Namur,
24639,Nova Southeastern,
1277,Nyack,
477,NYIT,
479,NYU,
514,Oakland,
1278,Oakland City,
515,Oberlin,
516,Occidental,
2713,Oglethorpe,
519,Ohio,Ohio
30119,Ohio Dominican,
517,Ohio Northern,
518,Ohio St.,Ohio State
15207,Ohio Valley,
520,Ohio Wesleyan,
503895,Okla. Baptist,
30202,Okla. Baptist,
30179,Okla. Christian,
24342,Okla. Panhandle,
522,Oklahoma,Oklahoma
503905,Oklahoma City,
521,Oklahoma St.,Oklahoma State
523,Old Dominion,Old Dominion
524,Old Westbury,
433,Ole Miss,Ole Miss
525,Olivet,
464,Omaha,
527,Oral Roberts,
529,Oregon,Oregon
528,Oregon St.,Oregon State
500078,Oregon Tech,
530,Oswego St.,
506046,Ottawa,
531,Otterbein,
1289,Ouachita Baptist,
23008,Ozarks (AR),
2682,P.R.-Bayamon,
1321,P.R.-Cayey,
27859,P.R.-Humacao,
24361,P.R.-Mayaguez,
2716,P.R.-Rio Piedras,
533,Pace,
534,Pacific,
2751,Pacific (OR),
1297,Pacific Lutheran,
535,Paine,
504035,Palm Beach Atl.,
30045,Palm Beach Atl.,
504050,Park,
506252,Parsons,
504055,Paul Quinn,
540,Penn,Pennsylvania
30190,Penn College,
506288,Penn College,
539,Penn St.,Penn State
30081,Penn St. Harrisburg,
30114,Penn St.-Abington,
25719,Penn St.-Altoona,
538,Penn St.-Behrend,
30044,Penn St.-Berks,
541,Pepperdine,
506235,Pershing,
506008,Peru St.,
542,Pfeiffer,
543,Philadelphia U.,
504115,Philander Smith,
21830,Piedmont,
504135,Pikeville,
544,Pine Manor,
1315,Pitt.-Bradford,
11839,Pitt.-Greensburg,
546,Pitt.-Johnstown,
1314,Pittsburg St.,
545,Pittsburgh,Pittsburgh
547,Plattsburgh St.,
548,Plymouth St.,
30149,Point Loma,
30080,Point Park,
500270,Point U.,
481,Polytechnic (NY),
549,Pomona-Pitzer,
551,Portland,
550,Portland St.,Portland State
1318,Post,
553,Prairie View,Prairie View A&M
504205,Pratt,
1320,Presbyterian,Presbyterian
30034,Presentation,
554,Princeton,Princeton
555,Principia,
556,Providence,
557,Puget Sound,
30029,Purchase,
559,Purdue,Purdue
504255,Purdue Northwest,
506441,Quantico Marines,
11504,Queens (NC),
560,Queens (NY),
561,Quincy,
